Sale_Transaction_ID,Status,Date_Time,Location_Latitude,Location_Longitude,City,Province_State,Country,Customer_ID,Sales_Person_ID,Source_Type
cl6zdlkkp0242g4ofkgkjilnu,COMPLETE,2019-08-29 4:00,,,,,,UnknownCustomer,,Market
cl6zdlkok0248g4ofxze2ffd9,COMPLETE,2019-11-14 5:00,,,,,,UnknownCustomer,,Market
cl6zdlksu0254g4ofv1lojzx2,COMPLETE,2019-11-19 5:00,,,,,,UnknownCustomer,,Market
cl6zdlkx80261g4of3aexgh9p,COMPLETE,2019-12-05 5:00,,,,,,UnknownCustomer,,Market
cl6zdll160267g4ofo91en4hq,COMPLETE,2019-12-07 5:00,,,,,,UnknownCustomer,,Market
cl6zdll5b0273g4of2atwboeg,COMPLETE,2019-06-02 4:00,,,,,,UnknownCustomer,,Market
cl6zdlla10280g4ofx825vg1f,COMPLETE,2019-06-04 4:00,,,,,,UnknownCustomer,,Market
cl6zdllea0287g4ofrjcls8f1,COMPLETE,2019-06-27 4:00,,,,,,UnknownCustomer,,Market
cl6zdllik0293g4ofte03k7zg,COMPLETE,2019-07-01 4:00,,,,,,UnknownCustomer,,Market
cl6zdllmm0299g4ofn9bs6ct6,COMPLETE,2019-07-22 4:00,,,,,,UnknownCustomer,,Market
cl6zdllqq0305g4ofd522oecd,COMPLETE,2019-07-22 4:00,,,,,,UnknownCustomer,,Market
cl6zdllut0311g4ofizpm0on1,COMPLETE,2019-07-23 4:00,,,,,,UnknownCustomer,,Market
cl6zdllyz0317g4ofdhj3g1oh,COMPLETE,2019-07-27 4:00,,,,,,UnknownCustomer,,Market
cl6zdlm3b0323g4ofexu2sgqg,COMPLETE,2019-08-22 4:00,,,,,,UnknownCustomer,,Market
cl6zdlm800329g4ofc3brq7cx,COMPLETE,2019-08-24 4:00,,,,,,UnknownCustomer,,Market
cl6zdlmck0335g4ofj5mli22j,COMPLETE,2019-08-25 4:00,,,,,,UnknownCustomer,,Market
cl6zdlmgw0342g4ofd5yjwoqj,COMPLETE,2019-09-28 4:00,,,,,,UnknownCustomer,,Market
cl6zdlmkv0348g4of6lt0wf6t,COMPLETE,2019-11-16 5:00,,,,,,UnknownCustomer,,Market
cl6zdlmpr0354g4of8agr0xcn,COMPLETE,2019-11-16 5:00,,,,,,UnknownCustomer,,Market
cl6zdlmu10360g4ofgzvn8qvl,COMPLETE,2019-12-01 5:00,,,,,,UnknownCustomer,,Market
cl6zdlmy00366g4of6zp2dm69,COMPLETE,2019-04-26 4:00,,,,,,UnknownCustomer,,Market
cl6zdln240372g4ofd5j8b3gb,COMPLETE,2019-06-06 4:00,,,,,,UnknownCustomer,,Market
cl6zdln680378g4ofmlo2h7w6,COMPLETE,2019-07-14 4:00,,,,,,UnknownCustomer,,Market
cl6zdlnap0384g4ofigistkkt,COMPLETE,2019-07-15 4:00,,,,,,UnknownCustomer,,Market
cl6zdlneq0390g4ofurs8z8d3,COMPLETE,2019-07-28 4:00,,,,,,UnknownCustomer,,Market
cl6zdlnj50397g4ofv5axdzhb,COMPLETE,2019-08-03 4:00,,,,,,UnknownCustomer,,Market
cl6zdlnnb0404g4ofestjr03t,COMPLETE,2019-08-08 4:00,,,,,,UnknownCustomer,,Market
cl6zdlnrf0410g4ofuq2ww684,COMPLETE,2019-11-10 5:00,,,,,,UnknownCustomer,,Market
cl6zdlnvl0417g4oft1snumu8,COMPLETE,2019-11-16 5:00,,,,,,UnknownCustomer,,Market
cl6zdlnzn0423g4ofsspmsmn9,COMPLETE,2019-07-02 4:00,,,,,,UnknownCustomer,,Market
cl6zdlo3q0429g4of75xdjdvz,COMPLETE,2019-07-14 4:00,,,,,,UnknownCustomer,,Market
cl6zdlo7q0435g4ofwcvvoqci,COMPLETE,2019-07-16 4:00,,,,,,UnknownCustomer,,Market
cl6zdloc00441g4ofqmvd5n63,COMPLETE,2019-07-21 4:00,,,,,,UnknownCustomer,,Market
cl6zdlog10448g4of9le9q95l,COMPLETE,2019-07-28 4:00,,,,,,UnknownCustomer,,Market
cl6zdloju0454g4ofu02d5km4,COMPLETE,2019-12-07 5:00,,,,,,UnknownCustomer,,Market
cl6zdlonw0460g4ofm1zngfbf,COMPLETE,2019-12-07 5:00,,,,,,UnknownCustomer,,Market
cl6zdlory0466g4of7s1th02d,COMPLETE,2019-09-29 4:00,,,,,,UnknownCustomer,,Market
cl6zdlovz0472g4ofoz0rpkwq,COMPLETE,2019-04-28 4:00,,,,,,UnknownCustomer,,Market
cl6zdlp0b0479g4oflarmbs4w,COMPLETE,2019-09-28 4:00,,,,,,UnknownCustomer,,Market
cl6zdlp580485g4of20rzwsdi,COMPLETE,2019-05-26 4:00,,,,,,UnknownCustomer,,Market
cl6zdlp9g0491g4ofz0mchh6f,COMPLETE,2019-07-14 4:00,,,,,,UnknownCustomer,,Market
cl6zdlpdm0497g4of8z895s36,COMPLETE,2019-07-14 4:00,,,,,,UnknownCustomer,,Market
cl6zdlphp0503g4ofuquukz3o,COMPLETE,2019-07-14 4:00,,,,,,UnknownCustomer,,Market
cl6zdlpls0509g4ofsp93stqx,COMPLETE,2019-07-21 4:00,,,,,,UnknownCustomer,,Market
cl6zdlppp0516g4ofwhqufqd9,COMPLETE,2019-08-12 4:00,,,,,,UnknownCustomer,,Market
cl6zdlptu0523g4ofkz017spx,COMPLETE,2019-08-20 4:00,,,,,,UnknownCustomer,,Market
cl6zdlpxs0529g4of5xh3ggyg,COMPLETE,2019-08-25 4:00,,,,,,UnknownCustomer,,Market
cl6zdlq1x0535g4oflfidlm3r,COMPLETE,2019-09-14 4:00,,,,,,UnknownCustomer,,Market
cl6zdlq5y0541g4ofulrpc0ma,COMPLETE,2019-09-29 4:00,,,,,,UnknownCustomer,,Market
cl6zdlqac0547g4ofrax92miy,COMPLETE,2019-11-16 5:00,,,,,,UnknownCustomer,,Market
cl6zdlqeg0553g4ofehcbpzgb,COMPLETE,2019-12-01 5:00,,,,,,UnknownCustomer,,Market
cl6zdlqjh0560g4ofdni8ukif,COMPLETE,2019-04-06 4:00,,,,,,UnknownCustomer,,Market
cl6zdlqnt0567g4ofmlrnfr2j,COMPLETE,2019-04-26 4:00,,,,,,UnknownCustomer,,Market
cl6zdlqsg0574g4ofkhztt5gs,COMPLETE,2019-04-26 4:00,,,,,,UnknownCustomer,,Market
cl6zdlqwf0580g4ofmnnygjse,COMPLETE,2019-08-08 4:00,,,,,,UnknownCustomer,,Market
cl6zdlr090586g4oflpc25cbe,COMPLETE,2019-09-03 4:00,,,,,,UnknownCustomer,,Market
cl6zdlr470593g4of1f62g5to,COMPLETE,2019-09-05 4:00,,,,,,UnknownCustomer,,Market
cl6zdlr870599g4of2ncc4qi0,COMPLETE,2019-11-16 5:00,,,,,,UnknownCustomer,,Market
cl6zdlrcu0606g4of4eztlct0,COMPLETE,2019-12-07 5:00,,,,,,UnknownCustomer,,Market
cl6zdlri20612g4ofg4j51bme,COMPLETE,2019-05-05 4:00,,,,,,UnknownCustomer,,Market
cl6zdlrm50618g4ofx8ndbf2h,COMPLETE,2019-07-16 4:00,,,,,,UnknownCustomer,,Market
cl6zdlrpz0624g4ofoaodjgd9,COMPLETE,2019-11-16 5:00,,,,,,UnknownCustomer,,Market
